bikes,year,month,day,hourfrom,dayofyear
6,2020,2,4,4,35
21,2020,2,4,5,35
65,2020,2,4,6,35
183,2020,2,4,7,35
185,2020,2,4,8,35
61,2020,2,4,9,35
54,2020,2,4,10,35
36,2020,2,4,11,35
66,2020,2,4,12,35
80,2020,2,4,13,35
51,2020,2,4,14,35
82,2020,2,4,15,35
117,2020,2,4,16,35
144,2020,2,4,17,35
101,2020,2,4,18,35
58,2020,2,4,19,35
39,2020,2,4,20,35
41,2020,2,4,21,35
32,2020,2,4,22,35
6,2020,2,4,23,35
5,2020,2,5,0,36
6,2020,2,5,1,36
1,2020,2,5,2,36
3,2020,2,5,3,36
5,2020,2,5,4,36
21,2020,2,5,5,36
90,2020,2,5,6,36
216,2020,2,5,7,36
228,2020,2,5,8,36
91,2020,2,5,9,36
75,2020,2,5,10,36
94,2020,2,5,11,36
82,2020,2,5,12,36
138,2020,2,5,13,36
98,2020,2,5,14,36
79,2020,2,5,15,36
128,2020,2,5,16,36
185,2020,2,5,17,36
132,2020,2,5,18,36
80,2020,2,5,19,36
49,2020,2,5,20,36
32,2020,2,5,21,36
27,2020,2,5,22,36
7,2020,2,5,23,36
10,2020,2,6,0,37
1,2020,2,6,1,37
1,2020,2,6,2,37
2,2020,2,6,3,37
3,2020,2,6,4,37
25,2020,2,6,5,37
103,2020,2,6,6,37
265,2020,2,6,7,37
220,2020,2,6,8,37
79,2020,2,6,9,37
65,2020,2,6,10,37
88,2020,2,6,11,37
88,2020,2,6,12,37
109,2020,2,6,13,37
73,2020,2,6,14,37
114,2020,2,6,15,37
139,2020,2,6,16,37
158,2020,2,6,17,37
146,2020,2,6,18,37
79,2020,2,6,19,37
37,2020,2,6,20,37
55,2020,2,6,21,37
40,2020,2,6,22,37
14,2020,2,6,23,37
5,2020,2,7,0,38
5,2020,2,7,1,38
3,2020,2,7,2,38
3,2020,2,7,3,38
4,2020,2,7,4,38
19,2020,2,7,5,38
80,2020,2,7,6,38
208,2020,2,7,7,38
205,2020,2,7,8,38
86,2020,2,7,9,38
66,2020,2,7,10,38
88,2020,2,7,11,38
87,2020,2,7,12,38
108,2020,2,7,13,38
83,2020,2,7,14,38
94,2020,2,7,15,38
136,2020,2,7,16,38
143,2020,2,7,17,38
117,2020,2,7,18,38
61,2020,2,7,19,38
41,2020,2,7,20,38
29,2020,2,7,21,38
45,2020,2,7,22,38
13,2020,2,7,23,38
12,2020,2,8,0,39
13,2020,2,8,1,39
3,2020,2,8,2,39
2,2020,2,8,3,39
2,2020,2,8,4,39
11,2020,2,8,5,39
17,2020,2,8,6,39
15,2020,2,8,7,39
26,2020,2,8,8,39
49,2020,2,8,9,39
54,2020,2,8,10,39
56,2020,2,8,11,39
65,2020,2,8,12,39
54,2020,2,8,13,39
39,2020,2,8,14,39
49,2020,2,8,15,39
64,2020,2,8,16,39
46,2020,2,8,17,39
51,2020,2,8,18,39
24,2020,2,8,19,39
25,2020,2,8,20,39
18,2020,2,8,21,39
12,2020,2,8,22,39
7,2020,2,8,23,39
13,2020,2,9,0,40
4,2020,2,9,1,40
6,2020,2,9,2,40
14,2020,2,9,3,40
6,2020,2,9,4,40
13,2020,2,9,5,40
17,2020,2,9,6,40
6,2020,2,9,7,40
12,2020,2,9,8,40
24,2020,2,9,9,40
43,2020,2,9,10,40
63,2020,2,9,11,40
50,2020,2,9,12,40
44,2020,2,9,13,40
64,2020,2,9,14,40
55,2020,2,9,15,40
54,2020,2,9,16,40
33,2020,2,9,17,40
25,2020,2,9,18,40
16,2020,2,9,19,40
11,2020,2,9,20,40
13,2020,2,9,21,40
4,2020,2,9,22,40
3,2020,2,9,23,40
1,2020,2,10,0,41
0,2020,2,10,1,41
0,2020,2,10,2,41
2,2020,2,10,3,41
2,2020,2,10,4,41
17,2020,2,10,5,41
62,2020,2,10,6,41
136,2020,2,10,7,41
104,2020,2,10,8,41
40,2020,2,10,9,41
35,2020,2,10,10,41
42,2020,2,10,11,41
57,2020,2,10,12,41
61,2020,2,10,13,41
49,2020,2,10,14,41
52,2020,2,10,15,41
83,2020,2,10,16,41
123,2020,2,10,17,41
81,2020,2,10,18,41
48,2020,2,10,19,41
27,2020,2,10,20,41
20,2020,2,10,21,41
13,2020,2,10,22,41
4,2020,2,10,23,41
3,2020,2,11,0,42
2,2020,2,11,1,42
1,2020,2,11,2,42
1,2020,2,11,3,42
2,2020,2,11,4,42
24,2020,2,11,5,42
68,2020,2,11,6,42
166,2020,2,11,7,42
184,2020,2,11,8,42
70,2020,2,11,9,42
60,2020,2,11,10,42
49,2020,2,11,11,42
73,2020,2,11,12,42
72,2020,2,11,13,42
55,2020,2,11,14,42
74,2020,2,11,15,42
120,2020,2,11,16,42
134,2020,2,11,17,42
114,2020,2,11,18,42
51,2020,2,11,19,42
48,2020,2,11,20,42
33,2020,2,11,21,42
26,2020,2,11,22,42
9,2020,2,11,23,42
4,2020,2,12,0,43
1,2020,2,12,1,43
0,2020,2,12,2,43
1,2020,2,12,3,43
3,2020,2,12,4,43
19,2020,2,12,5,43
85,2020,2,12,6,43
227,2020,2,12,7,43
198,2020,2,12,8,43
93,2020,2,12,9,43
64,2020,2,12,10,43
74,2020,2,12,11,43
87,2020,2,12,12,43
108,2020,2,12,13,43
56,2020,2,12,14,43
87,2020,2,12,15,43
126,2020,2,12,16,43
201,2020,2,12,17,43
124,2020,2,12,18,43
87,2020,2,12,19,43
55,2020,2,12,20,43
28,2020,2,12,21,43
26,2020,2,12,22,43
6,2020,2,12,23,43
5,2020,2,13,0,44
1,2020,2,13,1,44
2,2020,2,13,2,44
0,2020,2,13,3,44
5,2020,2,13,4,44
17,2020,2,13,5,44
77,2020,2,13,6,44
198,2020,2,13,7,44
212,2020,2,13,8,44
80,2020,2,13,9,44
66,2020,2,13,10,44
75,2020,2,13,11,44
79,2020,2,13,12,44
83,2020,2,13,13,44
66,2020,2,13,14,44
101,2020,2,13,15,44
127,2020,2,13,16,44
124,2020,2,13,17,44
116,2020,2,13,18,44
74,2020,2,13,19,44
41,2020,2,13,20,44
26,2020,2,13,21,44
28,2020,2,13,22,44
11,2020,2,13,23,44
3,2020,2,14,0,45
2,2020,2,14,1,45
1,2020,2,14,2,45
1,2020,2,14,3,45
3,2020,2,14,4,45
14,2020,2,14,5,45
70,2020,2,14,6,45
185,2020,2,14,7,45
204,2020,2,14,8,45
88,2020,2,14,9,45
